Intercept is on	拦截开启(on)
Names observed in use on target site	目标站点中使用的名称(Names observed in use on target site)
Derivations based on discovered items	基于项目的发现(Derivations based on discovered items)
File Extensions	文件扩展名(File Extensions)
Test these extensions:	测试以下扩展名(Test these extensions)：
Test all extensions observed in use on target site, except for:	测试目标站点中使用的所有扩展，但以下内容除外(Test all extensions observed in use on target site, except for)：
Test these variant extensions on discovered files:	在找到的文件上测试这些扩展名(Test these variant extensions on discovered files)：
Test file stems with no extension	文件名没有扩展名(Test file stems with no extension)
Discovery Engine	搜索引擎(Discovery Engine)
Case sensitivity:	区分大小写(Case sensitivity)：
Auto-detect	自动检测(Auto-detect)
Sensitive	区分大写和小写字母(Sensitive)
Insensitive	忽略大小写(Insensitive)
Add discovered content to suite site map	将发现的内容添加到Sitemap(Add discovered content to suite site map)
Copy content from suite site map	从Sitemap复制内容(Copy content from suite site map)
Spider from discovered content	爬行已发现的内容(Spider from discovered content)
Number of discovery threads:	搜索线程数(Number of discovery threads)：
Number of spider threads:	爬行的线程数(Number of spider threads):
Are you sure you want to exit this content discovery session?	您确定要结束此内容搜索会话吗？
Confirm	确认(Confirm)
Contains parameters	包含参数(Contains parameters)
Does not contain parameters	不包含参数(Does not contain parameters)
Is in target scope	在目标范围内(Is in target scope)
Was intercepted	被拦截了(Was intercepted)
Was annotated	已添加注释(Was annotated)
Was modified	已修改(Was modified)
Was not annotated	没有注释(Was not annotated)
Was not intercepted	没有被拦截(Was not intercepted)
Was not modified	未修改(Was not modified)
SQL Injection	SQL注入(Injection)
Error Based SQLi	基于SQL报错注入(Error Based SQLi)
SQLi Login Bypass	SQL注入登录绕过(SQLi Login Bypass)
XXE Snippets	XXE代码(Snippets)
Reverse Shell	反弹shell(Reverse Shell)
Column Count	猜列数(Column Count)
Union Statements	联合语句(Union Statements)
Basic Statements	基本语句(Basic Statements)
Databses	数据库(Databses)
Tables	数据表(Tables)
Columns	列(Columns)
Data	数据(Data)
File Inclusion Setup	文件包含设置(File Inclusion Setup)
Restrict IP:	限制(Restrict)IP:
Use Request Template:	使用request模板(Use Request Template):
Generate File	生成文件(Generate File)
Gen New Token		生成新的token(Gen New Token)
re/Connect	重新连接/连接(re/Connect)
From the:	来自(From the):
To the:	到(To the):
Lowercase	小写字母(Lowercase)
Just Initial	仅首字母(Just Initial)
Mixedcase	混合大小写字母(Mixedcase)
+Common Nicknames		+常用昵称(Common Nicknames)
Uppercase	大写(Uppercase)
Surnames	姓氏(Surnames)
First Names	名字(First Names)
Just Add First Names	仅加上名字(Just Add First Names)
Combine First names and Surnames	把名字和姓氏结合起来(Combine First names and Surnames)
Delimiter:	分隔符(Delimiter):
Switch Order	转换顺序(Switch Order)
Add Combos	添加组合(Add Combos)
Just Add Surnames	仅加上姓氏(Just Add Surnames)
Limit to: 	限制为(Limit to): 
DBS:	DBS(数据库):
Character(ASCII code):	字符(ASCII码):
Union Table:	联合表(Union Table):
Extra Headers	额外的头部(Extra Headers)
POST Data:	POST 数据(Data):
Testable Parameters:	可测试参数(Testable Parameters):
Skip Parameters:	跳过参数(Skip Parameters):
Suffix:	后缀(Suffix):
DBMS:	DBMS(数据库):
OS:	OS(系统):
databases	数据库(databases)
tables	数据表(tables)
columns	列(columns)
count	检索表的项目数(count)
current db	获取当前数据库名称(current db)
hostname	主机名(hostname)
is dba	当前用户权限是否为root(is dba)
current user	当前用户(current user)
roles	枚举数据库用户角色(roles)
comments	检索数据库的备注(comments)
privileges	查看特权，常用。例： --privileges -U username (CU 就是当前用户)
Set limits:	设置限制(Set limits):
Include	包含(Include)
Ignore System Proxy	忽略系统代理(Ignore System Proxy)
Authentication Type:	身份验证类型(Authentication Type):
Delay(seconds): 	延迟(Delay)(秒):
Timeout(seconds): 	超时(Timeout)(秒):
Threads:	线程(Threads):
Query Parameters \(([0-9]+)\)	查询(Query)的参数($1)
Body Parameters \(([0-9]+)\)	Body的参数($1)
Selection \(([0-9]+)\)	选中 (Selection) ($1)
Request Cookies \(([0-9]+)\)	请求包中的Cookies (Request Cookies) ($1)
Request Headers \(([0-9]+)\)	请求包中的头部信息 (Request Headers) ($1)
Response Cookies \(([0-9]+)\)	响应包 中的头部信息 (Response Cookies) ($1)
Response Headers \(([0-9]+)\)	响应包 中的头部信息 (Response Headers) ($1)
Are you sure you want to clear the history?	您确定要清除历史记录吗(Are you sure you want to clear the history)？
Extensions	扩展(Extensions)
SELECTED TEXT	选中文本(SELECTED TEXT)
DECODED FROM:	解码为: (DECODED FROM)
INSPECTOR	检查器(INSPECTOR)
Inspector	检查器(Inspector)
ADD...	添加...
Select extension...	选择插件...
See more	查看更多(See more)
Search...	搜索(Search)...
Search... 	搜索(Search)...
([0-9]+) matches	$1 个匹配(matches)
Done	已完成(Done)
Waiting	等待中(Waiting)
Auto-scroll to match when text changes	在文本更改时自动滚动到匹配的位置(Auto-scroll to match when text changes)
([,0-9]+) bytes \| ([0-9]+) millis	$1 字节(bytes) | $2 毫秒(millis)
Intruder attack	Intruder攻击(attack)
Llive task	实时任务(Live task)
Certain	确定的(Certain)
Tentative	实验性的(Tentative)
Firm	Firm(Firm)
Enter a new item	输入新项目(Enter a new item)
Discard	丢弃(Discard)
Continue attack in background	在后台继续攻击(Continue attack in background)
Do you want Intruder to continue	您希望 Intruder 在后台(Do you want Intruder to continue)
running this attack in the background?	继续运行此攻击吗？(running this attack in the background)
You can monitor its progress and access the results	您可以在仪表盘(You can monitor its progress and access the results)
from the dashboard.	监视其进度并获得结果.( from the dashboard)
Remember my choice when closing attacks in future	记住我的选择,以后关闭攻击时(Remember my choice when closing attacks in future )
You can change this setting in the Intruder menu.	您可以在 Intruder 菜单中更改此设置.(You can change this setting in the Intruder menu)
([,0-9]+) payload position	$1 个有效载荷位置(payload position)
Resume	继续(Resume)
Pause	暂停(Resume)
([0-9]+)% complete	已完成 $1% (complete)
([,0-9]+) highlights?	已高亮 $1
Memory: ([.0-9]+)MB	占用内存: $1MB
Disk: ([.0-9]+)MB	占用磁盘: $1MB
Memory: ([.0-9]+)KB	占用内存: $1KB
Disk: ([.0-9]+)KB	占用磁盘: $1KB
Memory: ([.0-9]+)GB	占用内存: $1GB
Disk: ([.0-9]+)GB	占用磁盘: $1GB
Repeat	重新(Repeat)
Attack	攻击(Attack)
With random variations	随机变化(With random variations)
Increase delay in increments of	增加延迟(Increase delay in increments of)
Update Host header to match target	更新主机头以匹配目标(Update Host header to match target)
Choose an attack type	选择一种攻击类型(Choose an attack type)
Attack type: 	攻击类型(Attack type): 
Target:	目标(Target):
Request Attributes	请求包的属性(Request Attributes)
Request Query Parameters	请求包的查询参数(Request Query Parameters)
It's empty in here	这里空空如也(It's empty in here)
Request Cookies	请求包Cookies(Request Cookies)
Response Headers	响应头(Response Headers)
Request Body Parameters	请求包的Body参数(Request Body Parameters)
Value:	值(Value):
